Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Kansas City Chiefs,Creed Humphrey,C,21,96,Superstar,1174,5,Oklahoma,"6'4""",302,56790000,20440000,18100000,3,0,73,78,66,90,96,24,6,6,6,25,21,21,15,8,6,34,8,10,18,94,94,94,96,94,10,10,26,30,39,25,25,7,11,10,14,11
Kansas City Chiefs,Patrick Mahomes,QB,21,94,X-Factor,3063,9,Texas Tech,"6'2""",225,325300000,246850000,34650000,8,0,85,86,85,70,98,97,94,91,84,59,30,22,27,17,15,66,78,77,75,23,10,10,10,27,10,10,24,37,26,18,22,17,19,10,20,10
Kansas City Chiefs,Chris Jones,DT,32,94,X-Factor,1600,10,Mississippi State,"6'6""",310,11620000,16120000,880000,2,0,73,78,73,96,97,23,6,6,6,29,16,15,13,6,3,29,10,31,33,44,46,44,44,95,95,90,87,92,88,86,94,23,29,13,17,17
Kansas City Chiefs,Drue Tranquill,WILL,21,93,Star,1099,7,Notre Dame,"6'2""",234,2240000,2750000,4990000,1,0,87,88,83,80,96,22,6,6,6,59,35,12,31,24,14,63,47,56,25,45,45,45,45,78,55,62,85,98,95,88,95,68,75,56,16,20
Kansas City Chiefs,Travis Kelce,TE,36,91,Superstar,892,13,Cincinnati,"6'5""",250,1340000,10650000,4890000,1,0,84,84,84,79,99,70,64,53,49,90,91,77,84,76,71,72,75,78,77,65,62,63,62,70,20,20,40,42,45,15,15,12,14,10,35,32
Kansas City Chiefs,Kenneth Walker,HB,25,91,Superstar,1151,4,Michigan State,"5'9""",211,29410000,13620000,5670000,3,0,93,93,92,81,89,27,20,15,11,67,45,48,54,47,41,98,93,87,89,33,23,54,34,35,10,10,33,38,36,32,15,12,18,15,15,12
Kansas City Chiefs,Trey Smith,RT,27,89,Superstar,827,5,Tennessee,"6'6""",321,75260000,18710000,24490000,3,0,71,75,69,95,90,25,6,6,6,24,12,12,10,5,5,32,5,10,31,92,90,83,88,96,28,10,25,24,32,31,10,10,11,10,24,22
Kansas City Chiefs,Rashee Rice,WR,26,86,Star,1181,3,SMU,"6'2""",203,64580000,27740000,2060000,7,0,90,92,86,71,90,47,30,20,15,91,85,87,91,88,80,72,80,80,63,55,32,37,30,50,10,10,32,32,32,28,15,11,16,10,25,20
Kansas City Chiefs,Xavier Worthy,WR,23,84,Superstar,1237,2,Texas,"5'11""",165,6920000,6840000,3750000,2,0,99,98,89,47,81,62,50,52,51,88,79,78,83,83,89,74,74,84,32,33,17,24,12,32,10,10,17,25,19,15,15,13,18,10,21,20
Kansas City Chiefs,Harrison Butker,K,31,83,Normal,306,9,Georgia Tech,"6'4""",205,22220000,8170000,7300000,3,0,74,75,54,44,74,27,33,25,25,30,12,12,10,10,10,26,14,28,17,18,15,19,16,15,10,10,12,12,15,12,17,15,15,10,96,88
Kansas City Chiefs,Nick Bolton,MIKE,26,83,Star,563,5,Missouri,"5'11""",237,30990000,14010000,19250000,2,0,87,83,74,74,87,13,6,6,6,64,37,15,20,10,6,54,21,42,29,45,45,45,45,81,63,51,79,93,89,88,88,66,69,48,20,11
Kansas City Chiefs,George Karlaftis,LEDG,25,83,Superstar,1057,4,Purdue,"6'4""",263,74580000,30230000,7400000,5,0,81,85,80,85,85,20,6,6,6,47,34,14,13,5,3,42,22,33,38,45,45,45,45,86,84,73,84,87,87,84,86,17,23,17,18,14
Kansas City Chiefs,Mansoor Delane,CB,22,82,Star,825,0,LSU,"6'0""",182,16720000,25200000,7620000,4,0,93,95,88,59,82,40,33,30,27,75,65,42,48,45,37,65,53,70,35,35,35,35,35,51,38,43,50,78,61,61,77,79,82,79,17,15
Kansas City Chiefs,Josh Simmons,LT,23,82,Star,986,1,Ohio State,"6'5""",310,7350000,7290000,3320000,3,0,78,76,69,88,85,16,6,6,6,18,18,12,15,5,5,30,5,10,29,76,80,84,87,84,36,32,36,26,34,38,15,12,16,10,12,15
Kansas City Chiefs,L'Jarius Sneed,CB,29,80,Superstar,989,6,LA. Tech,"6'1""",192,1210000,0,1210000,1,0,94,92,87,60,81,27,6,6,6,76,70,22,30,26,33,68,60,82,50,18,35,25,35,59,35,46,58,77,59,76,81,70,78,93,22,24
Kansas City Chiefs,Kingsley Suamataia,LG,23,79,Star,632,2,BYU,"6'5""",326,4760000,1630000,1740000,2,0,71,76,67,89,73,78,15,11,9,35,32,14,14,12,11,31,20,15,40,82,77,83,86,87,35,33,30,27,40,30,20,15,20,15,31,25
Kansas City Chiefs,Alohi Gilman,FS,28,79,Normal,437,6,Notre Dame,"5'10""",201,17250000,6750000,3500000,3,0,87,85,88,63,87,26,6,6,6,73,60,30,36,31,27,58,48,71,48,35,35,35,35,62,43,48,62,80,67,78,84,69,79,59,19,17
Kansas City Chiefs,Peter Woods,DT,21,78,Superstar,694,0,Clemson,"6'2""",298,8960000,9000000,3260000,4,0,76,83,61,89,79,21,6,6,6,44,26,23,13,10,3,45,18,40,45,45,45,45,45,84,76,72,82,78,81,81,77,25,22,25,16,24
Kansas City Chiefs,R Mason Thomas,REDG,22,78,Star,847,0,Oklahoma,"6'2""",241,6840000,5320000,2210000,4,0,83,87,87,80,73,10,27,24,10,58,42,16,17,15,10,49,32,37,30,45,45,45,45,81,73,81,77,82,82,84,74,37,47,37,27,20
Kansas City Chiefs,Kristian Fulton,CB,27,78,Normal,421,6,LSU,"5'11""",197,13500000,6500000,13000000,1,0,91,89,85,59,84,24,6,6,6,61,60,37,32,24,16,56,49,71,26,25,35,35,35,55,31,36,52,74,49,52,83,80,82,76,10,11
Kansas City Chiefs,Harrison Phillips,DT,30,78,Normal,384,8,Stanford,"6'3""",307,5000000,50000,5800000,1,0,69,66,71,93,73,26,6,6,6,27,18,15,15,7,3,26,24,26,38,45,45,45,45,83,72,63,80,80,88,78,77,19,27,11,17,11
Kansas City Chiefs,Von Miller,LEDG,37,78,Normal,362,15,Texas A&M,"6'3""",250,7000000,910000,7910000,1,0,83,83,82,84,78,19,6,6,6,51,41,33,15,5,5,65,20,53,41,45,45,45,45,92,73,79,78,84,85,86,77,49,60,62,21,15
Kansas City Chiefs,Nohl Williams,CB,23,77,Superstar,955,1,California,"6'0""",199,4920000,1390000,1430000,3,0,93,89,84,63,78,25,6,6,6,79,74,37,39,36,34,68,52,72,38,35,25,35,25,57,31,32,56,77,64,69,76,78,80,78,30,18
Kansas City Chiefs,Kader Kohou,CB,27,77,Star,668,4,Texas A&M-Commerce,"5'10""",195,1140000,660000,1800000,1,0,92,92,79,63,76,25,6,6,6,70,54,14,10,9,8,53,56,75,30,35,35,35,35,39,22,24,44,75,54,55,75,78,70,80,34,30
Kansas City Chiefs,Tyquan Thornton,WR,26,76,Normal,494,4,Baylor,"6'2""",182,6800000,4200000,3500000,2,0,92,91,82,55,80,44,38,31,22,86,84,73,76,78,81,76,69,72,33,43,16,25,25,39,10,10,21,30,19,18,17,12,18,18,18,14
Kansas City Chiefs,Chamarri Conner,FS,26,76,Star,422,3,Virginia Tech,"6'0""",206,8060000,2970000,3850000,3,0,89,92,86,66,78,25,15,10,10,69,59,41,43,42,39,59,61,69,54,35,35,35,35,62,35,45,58,77,69,83,77,73,72,75,15,14
