Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Pittsburgh Steelers,Cam Heyward,DT,37,95,X-Factor,974,15,Ohio State,"6'5""",295,9300000,27840000,13670000,2,0,75,73,67,94,96,21,6,6,6,48,22,12,10,3,2,39,11,10,36,45,45,45,45,94,88,74,96,89,95,92,97,22,32,10,12,11
Pittsburgh Steelers,Aaron Rodgers,QB,21,95,Superstar,2734,21,California,"6'2""",223,22000000,500000,22500000,1,0,77,75,74,59,92,94,97,93,93,47,15,15,15,14,12,64,59,48,29,23,18,12,12,29,10,10,19,24,19,12,25,13,19,10,15,18
Pittsburgh Steelers,T.J. Watt,LEDG,31,93,X-Factor,1504,9,Wisconsin,"6'4""",252,89050000,64360000,42000000,3,0,83,86,84,86,98,25,6,6,6,72,57,22,24,14,7,53,23,46,52,45,45,45,45,79,86,91,91,93,91,87,98,59,65,43,57,50
Pittsburgh Steelers,Jalen Ramsey,FS,21,92,X-Factor,1324,10,Florida State,"6'1""",208,43150000,36180000,17220000,3,0,93,92,89,71,88,27,33,26,21,84,72,27,36,24,12,71,68,78,42,34,33,21,33,65,35,41,70,82,81,82,86,89,88,98,18,17
Pittsburgh Steelers,Jamel Dean,CB,29,87,Star,869,7,Auburn,"6'1""",206,20750000,16000000,5500000,3,0,93,90,84,66,89,14,6,6,6,71,68,26,34,25,22,59,53,71,42,35,35,35,35,54,30,39,52,78,76,68,87,86,85,90,33,28
Pittsburgh Steelers,Alex Highsmith,REDG,29,87,Superstar,1099,6,Charlotte,"6'4""",242,45130000,25800000,20100000,2,0,84,86,81,85,88,24,6,6,6,56,27,14,10,5,5,46,16,32,32,45,45,45,45,83,78,89,86,89,88,80,87,55,63,45,14,10
Pittsburgh Steelers,Chris Boswell,K,35,86,Normal,361,12,Rice,"6'2""",185,17910000,14800000,4900000,5,0,72,71,62,44,74,29,37,33,27,29,12,12,10,10,10,45,12,10,15,24,10,16,10,10,10,10,10,10,35,15,10,12,12,10,96,95
Pittsburgh Steelers,Rico Dowdle,HB,28,86,Superstar,869,6,South Carolina,"6'0""",215,7250000,5000000,3750000,2,0,93,90,86,75,85,39,36,30,26,68,54,55,63,57,56,93,87,91,83,49,39,49,39,51,20,20,28,40,36,20,20,15,20,20,25,23
Pittsburgh Steelers,Joey Porter,CB,26,86,Superstar,1181,3,Penn State,"6'2""",193,7470000,3970000,4910000,1,0,92,94,89,67,86,26,15,11,10,60,62,22,29,22,15,60,66,71,52,35,35,35,35,53,40,33,58,77,65,78,84,86,80,92,15,12
Pittsburgh Steelers,Zach Frazier,C,25,85,Star,847,2,West Virginia,"6'3""",310,5220000,2290000,2050000,2,0,64,69,56,88,89,22,7,6,5,30,11,12,10,9,5,30,9,10,30,88,86,87,86,86,15,12,23,27,31,33,32,8,9,8,22,14
