Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Jacksonville Jags,Josh Hines-Allen,REDG,21,92,X-Factor,1765,7,Kentucky,"6'5""",255,59250000,70000000,23400000,3,0,87,87,84,83,94,24,6,6,6,74,60,44,48,40,36,67,37,55,51,45,45,45,45,88,91,92,89,91,92,88,94,52,62,58,15,17
Jacksonville Jags,Foyesade Oluokun,MIKE,21,91,Superstar,1032,8,Yale,"6'2""",230,24620000,34850000,16850000,2,0,87,87,84,70,89,28,15,10,10,73,47,15,20,10,10,62,26,42,34,35,35,35,35,81,56,49,80,97,91,87,97,78,80,63,20,14
Jacksonville Jags,Trevor Lawrence,QB,26,85,Superstar,1712,5,Clemson,"6'6""",220,175840000,115520000,24000000,5,0,89,87,88,69,89,92,91,88,81,50,28,20,29,18,13,66,76,74,60,21,18,16,14,26,10,10,24,31,27,19,18,13,18,10,27,23
Jacksonville Jags,Travis Hunter,CB,23,84,Superstar,1025,1,Colorado,"6'1""",188,4190000,42430000,10590000,3,0,93,94,95,61,76,41,31,26,24,85,86,79,82,80,81,70,76,86,50,42,30,35,35,58,35,44,55,77,68,71,78,84,84,80,26,23
Jacksonville Jags,Jourdan Lewis,CB,31,83,Normal,523,9,Michigan,"5'10""",195,10800000,17550000,6590000,2,0,88,87,84,67,94,24,6,6,6,73,77,26,32,22,15,65,66,78,38,35,35,35,35,61,27,36,58,78,69,66,92,84,80,82,26,26
Jacksonville Jags,Brian Thomas Jr,WR,23,82,Superstar,1078,2,LSU,"6'3""",209,5610000,9040000,3990000,2,0,97,95,88,59,74,24,15,10,6,82,85,79,81,84,83,76,76,87,43,44,19,26,10,43,10,10,26,30,28,15,18,15,19,15,18,13
Jacksonville Jags,Cam Little,K,23,82,Superstar,605,2,Arkansas,"6'2""",172,4010000,130000,1100000,2,0,74,78,65,41,64,29,32,21,12,21,15,15,15,15,15,20,5,21,10,16,16,17,17,16,10,10,12,29,21,13,15,11,12,10,99,94
Jacksonville Jags,Jakobi Meyers,WR,29,82,Star,589,7,N.C. State,"6'2""",200,31900000,0,12170000,1,0,88,91,86,62,83,75,57,52,48,94,87,72,83,82,78,73,73,82,50,48,32,37,30,47,10,10,35,43,39,28,32,24,32,23,45,31
Jacksonville Jags,Antonio Johnson,SS,24,82,Star,715,3,Texas A&M,"6'3""",195,24380000,11770000,3740000,5,0,88,92,80,55,80,23,15,10,10,64,63,49,45,40,33,54,71,71,52,35,35,35,35,51,35,49,55,85,81,85,80,79,86,76,19,16
Jacksonville Jags,Parker Washington,WR,24,82,Star,932,3,Penn State,"5'10""",204,6260000,170000,3710000,1,0,89,91,87,66,85,25,15,10,6,85,87,76,85,84,81,75,78,83,59,40,15,24,15,48,10,10,20,20,30,31,16,10,10,10,20,18
