Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Los Angeles Bolts,Derwin James Jr,SS,21,95,X-Factor,1444,8,Florida State,"6'2""",215,75100000,25100000,24600000,4,0,90,91,87,80,94,34,18,13,10,78,67,24,27,22,17,72,59,77,46,35,35,35,35,73,69,67,68,93,82,92,93,88,88,83,19,15
Los Angeles Bolts,Justin Herbert,QB,21,93,Superstar,2475,6,Oregon,"6'6""",236,212630000,87810000,46340000,4,0,93,87,80,71,92,96,96,93,83,39,18,14,17,13,10,68,64,67,58,24,19,17,12,23,10,10,26,41,36,33,16,11,18,14,20,16
Los Angeles Bolts,Rashawn Slater,LT,27,92,Superstar,1351,5,Northwestern,"6'4""",315,83040000,50000000,23800000,4,0,74,80,68,93,85,10,6,6,6,25,15,12,12,10,5,24,12,10,25,86,81,95,96,94,30,24,25,29,35,21,24,12,9,10,11,15
Los Angeles Bolts,Joe Alt,RT,23,87,Star,735,2,Notre Dame,"6'8""",322,4010000,29130000,9030000,2,0,71,77,72,89,88,54,45,43,38,57,56,47,42,35,25,59,36,39,48,85,85,91,92,87,34,36,35,24,44,45,32,15,13,14,15,14
Los Angeles Bolts,Khalil Mack,REDG,21,86,Superstar,1172,12,Buffalo,"6'3""",269,8000000,10000000,18000000,1,0,84,85,84,87,83,32,6,6,6,62,53,28,15,5,5,61,31,54,55,45,45,45,45,93,85,85,91,86,87,88,84,50,59,48,24,22
Los Angeles Bolts,Ladd McConkey,WR,24,85,Superstar,1353,2,Georgia,"6'0""",185,5880000,4090000,2720000,2,0,92,94,91,57,86,25,15,10,6,91,87,73,88,89,85,71,73,86,39,42,22,31,20,43,10,10,33,39,34,31,14,12,17,16,18,12
Los Angeles Bolts,Omarion Hampton,HB,23,84,Superstar,926,1,North Carolina,"6'0""",220,4790000,12950000,4030000,3,0,90,94,83,78,81,25,15,24,12,73,58,54,61,54,51,93,92,87,91,43,29,52,39,47,30,31,38,44,43,37,44,28,36,30,31,18
Los Angeles Bolts,Cameron Dicker,K,26,83,Normal,333,4,Texas,"6'1""",216,15980000,6990000,5720000,3,0,75,82,63,51,67,41,28,23,19,28,14,10,10,10,10,29,10,10,15,20,15,20,12,15,10,10,10,33,34,18,14,10,10,10,95,94
Los Angeles Bolts,Daiyan Henley,WILL,26,83,Star,710,3,Washington State,"6'0""",225,12630000,6170000,3900000,3,0,88,91,83,65,85,24,6,6,6,72,71,62,53,51,45,64,62,71,60,45,45,40,40,68,49,59,71,89,91,79,86,70,73,72,51,44
Los Angeles Bolts,Donte Jackson,CB,30,82,Normal,509,8,LSU,"5'10""",180,8000000,5000000,8500000,1,0,93,93,91,49,85,20,6,6,6,79,73,12,15,12,10,63,45,79,17,35,35,35,35,42,23,34,44,67,51,59,83,82,79,66,17,13
Los Angeles Bolts,Akheem Mesidor,LEDG,25,82,Superstar,1153,0,Miami,"6'3""",275,10220000,10200000,3710000,4,0,90,89,84,81,75,23,12,18,10,31,31,17,17,15,10,48,43,28,42,45,45,45,45,84,81,86,83,83,82,88,78,39,45,27,25,20
Los Angeles Bolts,Tarheeb Still,CB,24,81,Star,1129,2,Maryland,"6'1""",196,4010000,370000,1160000,2,0,89,93,85,56,79,27,11,10,6,79,66,27,26,16,11,60,66,72,26,15,14,10,9,57,26,31,43,71,61,55,80,79,86,81,18,17
Los Angeles Bolts,Tyler Biadasz,C,28,81,Normal,499,6,Wisconsin,"6'3""",316,20000000,10000000,4250000,3,0,74,65,64,85,88,21,6,6,6,23,15,15,16,6,5,28,9,14,28,84,79,81,78,83,24,20,36,34,37,47,29,12,14,10,48,43
Los Angeles Bolts,Quentin Johnston,WR,24,81,Star,830,3,TCU,"6'3""",208,22400000,8210000,4500000,2,0,93,91,83,70,88,30,20,15,10,87,87,81,80,84,80,76,84,82,66,49,26,35,30,47,10,10,30,36,31,25,16,13,19,19,22,18
Los Angeles Bolts,Tony Jefferson,SS,34,80,Normal,354,11,Oklahoma,"5'11""",212,1300000,200000,1500000,1,0,87,85,79,74,85,24,6,6,6,67,63,25,20,10,10,58,43,70,45,35,35,35,35,63,53,58,55,83,74,88,84,75,81,70,26,19
Los Angeles Bolts,Josh Harris,LS,37,80,Normal,277,14,Auburn,"6'1""",224,1620000,180000,1800000,1,0,76,74,73,68,71,25,10,10,10,55,56,23,48,43,38,71,25,40,53,56,55,56,51,71,10,10,42,38,56,55,40,22,21,15,23,13
Los Angeles Bolts,David Njoku,TE,30,80,Normal,556,9,Miami,"6'4""",246,1300000,1650000,2950000,1,0,86,88,82,72,76,13,15,10,6,86,86,76,71,67,62,76,77,77,72,59,54,62,61,65,10,10,42,37,36,15,13,26,23,10,15,19
Los Angeles Bolts,JK Scott,P,30,80,Star,310,8,Alabama,"6'5""",208,4280000,4370000,3800000,2,0,75,77,68,51,71,41,32,27,22,21,15,15,15,15,15,36,9,17,11,17,17,18,18,18,10,10,20,29,30,16,18,12,15,10,95,82
Los Angeles Bolts,Tuli Tuipulotu,LEDG,23,80,Star,783,3,USC,"6'3""",266,20710000,10440000,6200000,3,0,77,83,71,89,86,20,9,7,6,35,32,15,15,8,6,33,24,31,40,45,45,40,40,82,76,83,82,86,80,84,85,41,53,38,31,28
Los Angeles Bolts,Kimani Vidal,HB,25,78,Normal,664,2,Troy,"5'8""",213,1070000,0,1070000,1,0,90,90,86,70,83,28,20,15,10,68,55,57,66,60,56,88,80,83,77,27,16,53,38,29,10,10,29,35,33,31,17,12,18,15,20,16
Los Angeles Bolts,Cam Hart,CB,25,77,X-Factor,1214,2,Notre Dame,"6'2""",207,4010000,360000,1160000,2,0,91,92,80,59,70,32,33,31,25,70,68,60,56,51,48,66,67,75,53,35,35,35,31,61,23,32,61,73,68,72,75,81,79,79,21,22
Los Angeles Bolts,Teair Tart,DT,29,77,Normal,363,6,FIU,"6'2""",315,19940000,10060000,6020000,3,0,70,76,64,88,81,29,6,6,6,34,17,12,12,7,5,40,10,10,34,45,45,45,45,84,79,72,79,79,84,81,82,12,23,10,17,13
Los Angeles Bolts,Denzel Perryman,MIKE,33,76,Normal,340,11,Miami,"5'11""",240,1300000,1000000,2300000,1,0,81,81,75,84,81,25,6,6,6,60,30,12,15,5,5,65,10,30,45,45,45,45,45,95,58,51,75,86,83,90,82,59,56,48,20,20
