Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Los Angeles Rams,Myles Garrett,REDG,21,99,X-Factor,2505,9,Texas A&M,"6'4""",272,73220000,65790000,8400000,5,0,86,90,86,96,97,55,31,30,27,52,25,31,15,8,4,55,34,36,36,45,45,45,45,90,99,93,96,97,92,84,94,51,51,44,20,20
Los Angeles Rams,Puka Nacua,WR,25,98,X-Factor,2279,3,BYU,"6'1""",216,101580000,64560000,5820000,6,0,93,92,92,69,97,25,15,10,6,98,99,92,98,96,92,76,86,89,53,62,36,30,25,55,10,10,20,29,28,21,15,10,16,15,29,25
Los Angeles Rams,Davante Adams,WR,21,96,Superstar,1636,12,Fresno State,"6'1""",204,121500000,76000000,28000000,6,0,92,88,93,63,97,45,15,10,6,96,97,98,93,95,95,79,89,91,64,45,17,38,13,45,10,10,52,43,42,15,26,18,24,25,25,30
Los Angeles Rams,Trent McDuffie,CB,25,94,Superstar,1535,4,Washington,"5'11""",193,97590000,40040000,10800000,5,0,93,94,94,61,95,27,6,6,6,69,61,17,26,16,11,59,53,73,26,34,33,33,33,46,29,38,57,83,74,67,97,94,92,88,22,21
Los Angeles Rams,Chris Lindstrom,LG,21,94,Superstar,1512,7,Boston College,"6'3""",307,37450000,60380000,880000,6,0,76,79,67,92,97,23,6,6,6,26,14,12,16,6,5,19,8,14,31,97,95,84,86,91,10,10,15,23,32,28,10,12,12,10,25,25
Los Angeles Rams,Kevin Dotson,RG,29,90,Star,722,6,UL Lafayette,"6'4""",330,15150000,19660000,17410000,2,0,69,68,59,92,95,25,6,6,6,30,15,15,15,5,5,28,9,10,25,94,96,79,82,88,10,10,30,28,34,25,22,12,12,10,11,11
Los Angeles Rams,Kyren Williams,HB,26,89,Superstar,915,4,Notre Dame,"5'9""",207,26000000,12420000,11640000,3,0,88,90,84,79,98,44,38,33,27,72,63,60,69,63,55,92,91,88,93,47,32,59,37,47,10,10,36,45,42,36,27,22,30,22,19,15
Los Angeles Rams,A.J. Terrell Jr,CB,27,89,Superstar,1421,6,Clemson,"6'1""",195,42840000,0,3000000,3,0,91,91,89,60,92,22,6,6,6,70,62,38,31,26,20,58,58,75,35,35,35,35,35,50,28,43,50,76,65,56,92,87,93,95,19,12
Los Angeles Rams,Nate Landman,MIKE,27,86,Star,735,4,Colorado,"6'3""",235,15970000,7620000,7220000,3,0,82,86,80,76,92,42,42,40,35,55,47,44,45,42,39,58,45,50,49,45,45,45,45,88,45,40,78,89,91,88,94,67,72,54,12,13
Los Angeles Rams,Kobie Turner,DT,27,86,Star,852,3,Wake Forest,"6'2""",294,23080000,25380000,4150000,4,0,74,82,80,89,90,24,8,7,6,43,31,15,17,9,5,34,35,37,44,55,50,49,52,77,88,80,87,82,82,87,92,27,34,15,15,15
