Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Tennessee Titans,Jeffery Simmons,DT,21,96,Superstar,1287,7,Mississippi State,"6'4""",305,120000000,38920000,22060000,5,0,78,82,75,97,96,20,6,6,6,43,32,25,40,32,30,29,16,32,26,45,45,45,45,87,95,90,93,91,88,91,95,29,39,17,15,16
Tennessee Titans,Tony Pollard,HB,21,86,Normal,683,7,Memphis,"6'0""",209,31940000,20710000,9250000,6,0,93,93,85,69,86,25,21,15,12,74,61,64,67,63,62,90,81,93,73,32,24,62,31,34,12,15,30,42,38,30,29,40,36,24,14,10
Tennessee Titans,Wan'Dale Robinson,WR,25,85,Star,888,4,Kentucky,"5'8""",185,55960000,14010000,11270000,4,0,91,93,92,61,86,27,19,14,10,94,83,74,88,85,84,79,77,85,52,40,18,29,12,43,10,10,32,37,34,29,31,24,30,23,21,17
Tennessee Titans,Peter Skoronski,LG,25,85,Star,689,3,Northwestern,"6'4""",313,22900000,15820000,6250000,2,0,67,80,58,89,87,25,8,8,8,36,15,18,14,10,5,29,25,19,27,84,86,88,84,89,24,16,22,30,25,22,26,10,9,10,32,30
Tennessee Titans,Cor'Dale Flott,CB,25,84,Star,848,4,LSU,"6'1""",175,31470000,13430000,10740000,3,0,92,93,86,50,84,25,15,10,6,63,62,21,36,33,30,48,48,73,21,27,27,22,22,47,21,29,42,69,66,45,86,77,89,71,18,14
Tennessee Titans,Kamren Kinchens,FS,23,82,Star,898,2,Miami,"5'11""",202,15940000,14880000,1300000,5,0,86,88,84,59,84,31,21,17,14,80,67,22,24,15,11,63,45,66,49,45,40,40,35,56,38,43,59,79,77,88,85,74,85,72,20,15
Tennessee Titans,JC Latham,RT,23,80,Star,511,2,Alabama,"6'6""",342,4010000,22010000,7090000,2,0,63,64,60,94,78,21,11,9,6,24,27,19,15,14,10,33,15,10,41,83,82,79,83,91,47,32,49,31,40,51,26,9,10,10,21,17
Tennessee Titans,Cedric Gray,WILL,23,80,Star,782,2,North Carolina,"6'2""",234,3870000,810000,1270000,2,0,84,91,77,70,79,14,17,19,14,70,65,18,21,21,15,60,54,64,52,28,23,25,24,70,59,67,74,87,89,82,78,71,77,66,15,14
Tennessee Titans,Alontae Taylor,CB,21,80,Superstar,795,4,Tennessee,"6'1""",199,44470000,13530000,14000000,3,0,95,94,82,60,81,44,42,35,30,72,64,42,43,40,36,63,57,76,38,35,35,35,35,54,36,45,43,70,62,74,80,75,79,74,21,21
Tennessee Titans,Kareem Hunt,HB,31,80,Normal,393,9,Toledo,"5'11""",216,3230000,0,3230000,1,0,85,88,85,81,83,27,24,20,17,71,60,52,67,61,55,93,84,83,86,57,39,59,28,50,10,10,29,34,31,24,16,13,28,20,24,16
