Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
New York G-Men,Andrew Thomas,LT,27,93,Superstar,1421,6,Georgia,"6'5""",315,66100000,52460000,19930000,4,0,68,64,63,90,91,23,6,6,6,46,42,19,29,14,10,33,8,22,33,86,85,94,96,93,10,10,27,24,31,30,13,12,15,10,24,22
New York G-Men,Brian Burns,REDG,21,92,Superstar,1497,7,Florida State,"6'5""",250,58550000,84240000,21380000,3,0,88,90,86,76,95,24,6,6,6,48,34,17,15,10,5,41,21,42,28,45,45,45,45,78,87,93,89,90,90,84,95,45,56,22,15,17
New York G-Men,Malik Nabers,WR,23,87,Superstar,1247,2,LSU,"6'0""",199,4010000,25180000,7960000,2,0,96,92,92,63,81,31,15,10,6,87,95,82,85,88,87,76,83,88,53,38,19,23,10,42,11,11,27,31,30,20,19,12,18,15,28,25
New York G-Men,Tremaine Edmunds,MIKE,28,84,Star,685,8,Virginia Tech,"6'4""",251,23050000,12830000,5560000,3,0,85,85,84,75,89,18,6,6,6,74,48,15,15,5,5,48,29,49,28,45,45,45,45,81,61,73,77,88,89,85,87,68,74,37,20,14
New York G-Men,D.J. Reader,DT,32,84,Star,646,10,Clemson,"6'3""",335,6900000,5600000,4500000,2,0,70,61,57,95,89,24,6,6,6,29,16,15,13,5,3,30,10,16,29,45,46,44,44,88,77,64,85,87,86,80,91,18,26,13,17,17
New York G-Men,Jevon Holland,FS,26,84,Star,591,5,Oregon,"6'1""",210,28210000,16920000,18500000,2,0,93,92,83,65,83,23,15,10,10,79,75,46,44,41,40,67,43,77,33,35,35,35,35,64,40,48,59,82,74,82,81,83,85,69,11,15
New York G-Men,Abdul Carter,REDG,22,83,Superstar,1040,1,Penn State,"6'4""",250,4190000,41050000,10280000,3,0,88,92,86,80,85,22,18,18,18,43,33,23,20,15,10,46,39,53,44,40,40,45,45,84,81,84,82,83,79,77,81,50,55,44,23,20
New York G-Men,Darius Slayton,WR,21,83,Superstar,957,7,Auburn,"6'1""",194,22240000,13630000,15910000,2,0,93,91,84,57,90,24,15,10,6,84,90,82,78,81,88,72,73,81,36,39,13,27,10,39,15,19,28,35,30,21,24,23,26,10,17,13
New York G-Men,Cam Skattebo,HB,24,83,Star,934,1,Arizona State,"5'10""",216,4000000,1050000,1210000,3,0,85,90,87,84,80,63,58,55,52,72,57,61,63,55,52,91,91,82,95,50,33,57,46,51,32,35,40,47,45,43,18,19,22,17,66,58
New York G-Men,Patrick Ricard,FB,32,82,Normal,417,9,Maine,"6'3""",305,3680000,3800000,2790000,2,0,72,75,71,88,81,23,6,6,6,70,40,42,54,43,35,68,56,62,68,72,62,70,54,79,74,66,72,72,79,79,74,53,58,36,17,17
